seed,geometry_target,neighbors,connected_components,largest_component_fraction,fit_pairs,eval_pairs,euclidean_spearman,geodesic_spearman,euclidean_r2,geodesic_r2,combined_r2,geodesic_incremental_r2,euclidean_rmse,geodesic_rmse,combined_rmse
1,none,10,1,1.0,49884,49913,0.30760425153842663,0.28362418910107084,0.1322129827245343,0.10449330108315125,0.13650030416434267,0.004287321439808367,0.1631330445396087,0.16571803946461158,0.16272956431859914
1,none,20,1,1.0,49900,49901,0.3112533301014388,0.29464465173439613,0.13746468574705328,0.1167377598886501,0.1407353547690371,0.0032706690219838075,0.1640661207278901,0.16602569205010187,0.16375476209197398
1,none,40,1,1.0,49922,49913,0.31654459983130917,0.30159781150499,0.14150397109726776,0.12446470699076484,0.1443348113378563,0.00283084024058855,0.16310833814470874,0.1647190565721802,0.1628391960081168
1,affective,10,1,1.0,49884,49913,0.3818821910832713,0.37061762849753493,0.2018570729700564,0.16996792837195707,0.20140123784645014,-0.0004558351236062519,0.15645004842750615,0.1595448551103781,0.15649471790038139
1,affective,20,1,1.0,49900,49901,0.3881277785299206,0.37843476480275323,0.20969086573446516,0.18198861243020503,0.21001065518967343,0.00031978945520827473,0.1570467551842417,0.15977548396087662,0.15701497839237602
1,affective,40,1,1.0,49922,49913,0.3907462292340191,0.3787173614537451,0.2134971231010212,0.1883440658553328,0.21591090045742145,0.0024137773564002485,0.15611950849206968,0.15859628192613545,0.1558797590144496
7,none,10,1,1.0,49909,49892,0.32403248533888707,0.2994146969267489,0.15244210578995787,0.12177756973448695,0.15327429811471294,0.0008321923247550655,0.15344067317968393,0.1561917428809426,0.15336532522345991
7,none,20,1,1.0,49893,49900,0.3290819382094916,0.31455859223005683,0.15937319487622248,0.13590435256842004,0.16024176269838952,0.0008685678221670434,0.15322524906087343,0.15534941693801488,0.15314606950380893
7,none,40,1,1.0,49907,49907,0.33127214169505814,0.3203837761914172,0.16295464990465247,0.14396447342305563,0.16389510349465986,0.000940453590007384,0.15194744862076878,0.15366140947533097,0.15186206514398704
7,affective,10,1,1.0,49909,49892,0.3857363185321429,0.3636986073932502,0.19634852243237277,0.1607233214006656,0.1968582753796584,0.0005097529472856133,0.14941344602722675,0.15268922339482355,0.14936605233228764
7,affective,20,1,1.0,49893,49900,0.38811348878032415,0.3697318185424136,0.20306825582568266,0.17285761161886481,0.20388864455960087,0.0008203887339182092,0.14918985162379605,0.15199134480447554,0.14911304128861888
7,affective,40,1,1.0,49907,49907,0.3941190864363394,0.376029800600852,0.20735068564251347,0.17988450096416708,0.20959585939935277,0.0022451737568393026,0.14786298258154384,0.1504029753679534,0.14765342363976347
21,none,10,1,1.0,49903,49899,0.3271126321670823,0.2999099983109555,0.13380853882068622,0.10882642056147052,0.13436624329898483,0.0005577044782986151,0.1568180542731491,0.15906340068804764,0.1567675618489801
21,none,20,1,1.0,49922,49913,0.3263717227535876,0.30519010721258427,0.12807262882761317,0.11073683982161331,0.12826191718951652,0.0001892883619033503,0.15686883924651948,0.1584206088166889,0.15685181084580463
21,none,40,1,1.0,49901,49883,0.33115219129391366,0.3175346776398444,0.13354363453866802,0.12049852642776726,0.13367522133185872,0.00013158679319069666,0.15635399275494535,0.15752660511373165,0.15634211973829668
21,affective,10,1,1.0,49903,49899,0.42727456566642863,0.4087347056959008,0.21949421536018476,0.19729496252775003,0.2185051259829468,-0.0009890893772379616,0.14885971219823907,0.15096181412672943,0.14895400294323247
21,affective,20,1,1.0,49922,49913,0.4307093091839735,0.41380846986662895,0.21582685294307946,0.19439487072071493,0.21434920449716754,-0.0014776484459119166,0.1487655974196876,0.15078482587448805,0.14890569390010028
21,affective,40,1,1.0,49901,49883,0.4330522618577155,0.41644041585198543,0.2227408239198565,0.20092148105990837,0.22297718613419248,0.00023636221433598337,0.14808755295669052,0.1501517353435713,0.14806503475141325
42,none,10,1,1.0,49904,49894,0.3037334704483129,0.2932381756391473,0.11198822305741163,0.10351669903318184,0.11153087313674526,-0.00045734992066637226,0.15434830365483415,0.15508278808389095,0.154388045299886
42,none,20,1,1.0,49911,49911,0.2906208382486508,0.28510753157760677,0.10227720659937711,0.09822720789594885,0.10188232023584776,-0.00039488636352935647,0.15531587857998383,0.15566583140212,0.15535003465789474
42,none,40,1,1.0,49909,49915,0.29139187818088674,0.28359615310115316,0.10245960281206479,0.09683283426764688,0.10231957727025887,-0.00014002554180592153,0.15624817815040307,0.15673718050317131,0.15626036583722464
42,affective,10,1,1.0,49904,49894,0.3779807215971544,0.3597523578276034,0.16896135441909943,0.14826290364895445,0.16579300074791248,-0.003168353671186952,0.14931488637328788,0.15116292239985382,0.14959924879079536
42,affective,20,1,1.0,49911,49911,0.3671806604343589,0.3523175636371303,0.15994954874449052,0.14447717428700357,0.1575148155696704,-0.002434733174820125,0.1502440964829488,0.15162141041387145,0.15046166651973927
42,affective,40,1,1.0,49909,49915,0.37178894302349463,0.3559046938546457,0.16330011733894867,0.1456554179359255,0.16408703958633697,0.0007869222473882997,0.15085955205876508,0.15244194968599717,0.1507885931245304
99,none,10,1,1.0,49914,49924,0.2847756038437456,0.2721328227761293,0.09984250436927866,0.08721275816183727,0.09909365296905803,-0.0007488514002206292,0.14999022543420293,0.15103878639440563,0.15005260176303187
99,none,20,1,1.0,49895,49912,0.29082193404193035,0.2816432460703858,0.10002215611687382,0.09019232571479796,0.09961209845258301,-0.00041005766429080825,0.1501219181126723,0.1509395301373454,0.15015611430600714
99,none,40,1,1.0,49908,49894,0.28978993046068713,0.2816829572499861,0.10344230553644618,0.09640569969216595,0.10266612909515849,-0.0007761764412876904,0.15154360417125137,0.15213713455918979,0.15160918786394592
99,affective,10,1,1.0,49914,49924,0.35320653785322903,0.3403603546098582,0.1560817190142404,0.1387010281581379,0.15377357004961845,-0.0023081489646219477,0.1452291863101483,0.14671707870859985,0.14542765440415606
99,affective,20,1,1.0,49895,49912,0.36348856991613027,0.3521376700286429,0.16139033796385283,0.14671422187076932,0.1586246405194761,-0.0027656974443767135,0.14491326006463578,0.14617578993352798,0.14515202211992664
99,affective,40,1,1.0,49908,49894,0.36201312694162996,0.35134311935011525,0.16424862777446758,0.15054115052992845,0.1626313019765977,-0.001617325797869884,0.14631438965289362,0.14750938874696498,0.14645589325757608
