"method","supervised_representation","dimensions","valence_r2","valence_mae","valence_rmse","arousal_r2","arousal_mae","arousal_rmse","dominance_r2","dominance_mae","dominance_rmse","mean_vad_r2","test_trustworthiness","test_vad_distance_spearman","geometry_target","geometry_weight","hybrid_alpha","seed"
"AE_VAD_affective","True","16","0.510196328163147","0.0890129879117012","0.12078545534059808","0.187183678150177","0.08638764917850494","0.11081059527898275","0.17232835292816162","0.07397180795669556","0.09565298070776133","0.28990278641382855","0.8187650584052819","0.3773650086469695","affective","0.1","","1"
"AE_VAD_none","True","16","0.5066195130348206","0.08924110233783722","0.12122568126878613","0.179729163646698","0.08668147772550583","0.1113175671573777","0.18163466453552246","0.07340928912162781","0.09511370055212662","0.28932778040568036","0.8231104113763332","0.2968704240386844","none","0.0","","1"
"AE_VAD_semantic","True","16","0.501028299331665","0.0896625816822052","0.12191063928366339","0.18129169940948486","0.0866890549659729","0.1112114939526651","0.18434232473373413","0.07333061844110489","0.0949562179384345","0.2888874411582947","0.8504418486541392","0.21497469606356412","semantic","0.1","","1"
"AE_VAD_hybrid","True","16","0.5064278841018677","0.08922744542360306","0.12124922216303552","0.17912286520004272","0.0868440791964531","0.11135870112101091","0.1766161322593689","0.07381370663642883","0.09540489010446114","0.28738896052042645","0.837996749619096","0.33462746604259797","hybrid","0.1","0.5","1"
"AE_VAD_semantic","True","16","0.5198220014572144","0.08765064179897308","0.11959272343484285","0.18408071994781494","0.08721154928207397","0.11102190064390668","0.1283441185951233","0.0761885866522789","0.09816168165526434","0.2774156133333842","0.8593527679024886","0.2302074745028976","semantic","0.1","","7"
"AE_VAD_none","True","16","0.5232125520706177","0.08728516101837158","0.11916975149986356","0.17934507131576538","0.0873970314860344","0.11134362949356251","0.12963145971298218","0.07603446394205093","0.09808916931266845","0.27739636103312176","0.8446569832402235","0.35070778184710166","none","0.0","","7"
"AE_VAD_affective","True","16","0.521969199180603","0.08715901523828506","0.11932504170275395","0.18326640129089355","0.08705651015043259","0.11107729378138521","0.12605780363082886","0.0762481689453125","0.09829033511703669","0.27709780136744183","0.8185527679024885","0.43218519611489387","affective","0.1","","7"
"AE_VAD_hybrid","True","16","0.5193101763725281","0.08747224509716034","0.11965644675114362","0.18361234664916992","0.08713962882757187","0.11105376870160684","0.12620437145233154","0.07622648030519485","0.09828209132970027","0.2763756314913432","0.8442957846622652","0.3720581294205456","hybrid","0.1","0.5","7"
"AE_VAD_hybrid","True","16","0.5216261148452759","0.08808302134275436","0.11936785182222494","0.15996766090393066","0.088471420109272","0.11265048816512066","0.14980041980743408","0.07526962459087372","0.09694600272011718","0.2771313985188802","0.8447642458100559","0.346319125026178","hybrid","0.1","0.5","21"
"AE_VAD_none","True","16","0.5237182378768921","0.08810989558696747","0.11910654581166027","0.16090893745422363","0.08864222466945648","0.11258735741978652","0.13987696170806885","0.07570807635784149","0.09751012837395508","0.27483471234639484","0.8424574911122398","0.31547451237777263","none","0.0","","21"
"AE_VAD_affective","True","16","0.5168944597244263","0.08832376450300217","0.11995673899879097","0.15704643726348877","0.08850368857383728","0.11284618856087063","0.1504167914390564","0.07526557892560959","0.0969108505593182","0.2747858961423238","0.8153824276282376","0.4113517011598291","affective","0.1","","21"
"AE_VAD_semantic","True","16","0.5227555632591248","0.08817476034164429","0.11922685051317011","0.15700042247772217","0.08886563032865524","0.11284927102413558","0.13935041427612305","0.07586591690778732","0.09753997556345358","0.27303546667099","0.8599439309294058","0.20757035614012065","semantic","0.1","","21"
