"method","supervised_representation","dimensions","valence_r2","valence_mae","valence_rmse","arousal_r2","arousal_mae","arousal_rmse","dominance_r2","dominance_mae","dominance_rmse","mean_vad_r2","test_trustworthiness","test_vad_distance_spearman","nonlinear","reconstruction_weight","geometry_weight","seed"
"Supervised_nonlinear","True","16","0.29963433742523193","0.1032106950879097","0.15175298931062106","0.06699037551879883","0.09561362117528915","0.12436250834178868","0.1185908317565918","0.07806470990180969","0.09786950668299695","0.16173851490020752","0.7144260355029586","0.2622748734870578","True","0.0","0.0","1"
"Supervised_nonlinear_geometry","True","16","0.2951781153678894","0.10392673313617706","0.15223499842471747","0.055638134479522705","0.09600906074047089","0.12511680033680744","0.12226974964141846","0.07778829336166382","0.09766504248138169","0.1576953331629435","0.7358579881656805","0.23022466423347382","True","0.0","0.1","1"
"AE_VAD","True","16","0.17674589157104492","0.11599883437156677","0.16452874055852446","0.09568482637405396","0.0927514061331749","0.12243520749298654","0.1706802248954773","0.07455409318208694","0.094933529519034","0.1477036476135254","0.7176568047337278","0.18773809870131844","True","0.1","0.0","1"
"AE_VAD_geometry","True","16","0.1769581437110901","0.1157509908080101","0.164507534785022","0.08205097913742065","0.09323536604642868","0.12335469329434656","0.17323553562164307","0.07406960427761078","0.09478716042657882","0.1440815528233846","0.7318343195266273","0.1841618507626784","True","0.1","0.1","1"
"Supervised_linear","True","16","0.15154588222503662","0.1202303096652031","0.16702789348766175","0.15039366483688354","0.08993040025234222","0.11867391916037576","0.03806525468826294","0.08036161214113235","0.10224249049179923","0.1133349339167277","0.7215739644970414","0.18110649052463212","False","0.0","0.0","1"
"Supervised_nonlinear","True","16","0.2556278705596924","0.10702575743198395","0.15644794680964685","0.09287691116333008","0.09622108191251755","0.12262513911169368","0.11115837097167969","0.07799553126096725","0.0982812811270757","0.15322105089823404","0.7020710059171598","0.2862992504651733","True","0.0","0.0","7"
"Supervised_nonlinear_geometry","True","16","0.24848026037216187","0.10757160186767578","0.1571972801946451","0.08368152379989624","0.09708346426486969","0.12324509095823814","0.12531155347824097","0.07733751088380814","0.09749566703576762","0.1524911125500997","0.7290887573964497","0.25412143727031966","True","0.0","0.1","7"
"AE_VAD","True","16","0.23802179098129272","0.10987737029790878","0.1582873085120226","0.10893774032592773","0.0917884036898613","0.12153473665734325","0.1067274808883667","0.07721047103404999","0.09852594307963794","0.1512290040651957","0.6836568047337278","0.23639582482561708","True","0.1","0.0","7"
"AE_VAD_geometry","True","16","0.23164647817611694","0.11031249165534973","0.15894810968254788","0.08794277906417847","0.09368380904197693","0.1229581853855615","0.10282140970230103","0.07764497399330139","0.09874112253786606","0.14080355564753214","0.7133136094674557","0.19913454488971488","True","0.1","0.1","7"
"Supervised_linear","True","16","0.14909303188323975","0.11520776897668839","0.16726915914337745","0.06683510541915894","0.09901239722967148","0.12437285365116908","-0.031755924224853516","0.08428658545017242","0.10588808497359739","0.06139073769251505","0.738603550295858","0.1755980833599844","False","0.0","0.0","7"
"AE_VAD","True","16","0.17966312170028687","0.11411381512880325","0.16423697503875048","0.13442271947860718","0.09514311701059341","0.11978414544736907","0.13347309827804565","0.07739023864269257","0.09703974194461944","0.14918631315231323","0.699680473372781","0.3177578628876357","True","0.1","0.0","21"
"AE_VAD_geometry","True","16","0.1823347806930542","0.11265763640403748","0.163969314314313","0.1389007568359375","0.09557357430458069","0.11947389018001692","0.1202157735824585","0.07787914574146271","0.09777924897970888","0.14715043703715006","0.7263431952662722","0.29642020255692436","True","0.1","0.1","21"
"Supervised_linear","True","16","0.22658395767211914","0.11187393963336945","0.15947088274463067","0.07720798254013062","0.09834378957748413","0.12367966835205439","0.09248250722885132","0.07797053456306458","0.09930842882373828","0.13209148248036703","0.7042130177514794","0.20634838760996102","False","0.0","0.0","21"
"Supervised_nonlinear","True","16","0.20785242319107056","0.11055415868759155","0.16139046270521315","0.08839356899261475","0.09582280367612839","0.12292779352518857","0.08351379632949829","0.07947501540184021","0.09979793988614269","0.1265865961710612","0.6591597633136095","0.30050001448733765","True","0.0","0.0","21"
"Supervised_nonlinear_geometry","True","16","0.18092972040176392","0.11349249631166458","0.1641101370634596","0.07801187038421631","0.09662807732820511","0.12362578614624282","0.08256512880325317","0.07910297811031342","0.09984957960061296","0.11383557319641113","0.683810650887574","0.2759353650753077","True","0.0","0.1","21"
"AE_VAD_geometry","True","16","0.22384917736053467","0.10960808396339417","0.15975258128076153","0.09916126728057861","0.09478674083948135","0.12219963852474611","0.06445109844207764","0.08052024990320206","0.10083048453260636","0.12915384769439697","0.7258343195266272","0.24546086032193468","True","0.1","0.1","42"
